"Номер объекта";"Вид объекта недвижимости";"Кадастровый квартал";"Площадь, кв.м.";"Тип сделки";"Дата сделки";"Дата регистрации/ предложения";"Цена сделки/ предложения, руб.";"Удельная цена сделки/ предложения, руб./кв.м.";"Доля в праве на объект недвижимости";"Назначение/Категория земель";"Разрешенное использование";"Количество надземных этажей";"Подземная этажность";"Ограничения (обременения) вещных прав";"Жилая площадь, кв.м.";"Наименование";"ОКАТО";"Субъект";"Район";"Город";"Населенный пункт";"Улица";"Номер  этажа";"Количество объектов в сделке";"Источник данных";"Организация";"Материал наружных стен";"Год ввода в эксплуатацию";"Год завершения строительства";"Вид жилого помещения в многоквартирном доме";"Тип информации";"Идентификатор записи"
"4703020";"Земельный участок";"65:01:0501002";240;"Договор купли-продажи";"09.2008";"10.2008";2846000,00;11858,33;;"Земли населенных пунктов";;;;"Ипотека";;;"64401000000";"Сахалинская область";;"Южно-Сахалинск";;"Больничная";;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2001";"Не указан";"Не указан";"Сделка";6444422263
"2888004";"Земельный участок";"65:04:0000010";600;"Договор купли-продажи";"11.2012";"11.2012";1955000,00;3258,33;"1/2";"Земли населенных пунктов";"Для индивидуальной жилой застройки";;;"Ипотека";;;"64415000000";"Сахалинская область";"Корсаковский";"Корсаков";;"Ушакова";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2002";"Не указан";"Не указан";"Сделка";6444422283
"6235013";"Земельный участок";"65:22:0000015";994,8;"Договор купли-продажи";"01.2007";"01.2007";18093,00;18,19;;"Земли населенных пунктов";;;;"Без обременения";;;"64232551000";"Сахалинская область";"Ногликский";;"Ноглики";"Ак. Штернберга";;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2007";"Не указан";"Не указан";"Сделка";6444422423
"12654020";"Земельный участок";"65:01:0202001";1000;"Договор купли-продажи";"04.2010";"04.2010";2900000,00;2900,00;;"Земли населенных пунктов";;;;"Ипотека";;;"64401000000";"Сахалинская область";;"Южно-Сахалинск";;;;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"1999";"Не указан";"Не указан";"Сделка";6444422486
"56115020";"Земельный участок";"65:05:0000022";1339;"Договор купли-продажи";"02.2012";"10.2014";1700000,00;1269,60;"1/3";"Земли населенных пунктов";"Для индивидуальной жилой застройки";;;"Ипотека";;;"64208820004";"Сахалинская область";"Анивский";;"Петропавловское";;;4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2006";"Не указан";"Не указан";"Сделка";6444422487
"367052020";"Земельный участок";"65:01:0201002";730;"Договор купли-продажи";"06.2014";"07.2014";2000000,00;2739,73;"1/2";"Земли населенных пунктов";"Для объектов жилой застройки";;;"Ипотека";;;"64401000000";"Сахалинская область";;"Южно-Сахалинск";;;;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2013";"Не указан";"Не указан";"Сделка";6444422576
"343646020";"Земельный участок";"65:01:0102001";1000;"Договор купли-продажи";"12.2013";"12.2013";2133150,00;2133,15;;"Земли населенных пунктов";"Для объектов жилой застройки";;;"Ипотека";;;"64401000000";"Сахалинская область";;"Южно-Сахалинск";;;;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2013";"Не указан";"Не указан";"Сделка";6444422602
"4258004";"Земельный участок";"65:04:0000029";600;"Договор купли-продажи";"09.2014";"09.2014";1950000,00;3250,00;;"Земли населенных пунктов";;;;"Ипотека";;;"64415000000";"Сахалинская область";"Корсаковский";"Корсаков";;"Авиационная";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2001";"Не указан";"Не указан";"Сделка";6444422624
"1505017";"Земельный участок";"65:19:0000022";1200;"Договор купли-продажи";"05.2005";"06.2005";10000,00;8,33;;"Земли населенных пунктов";;;;"Без обременения";;;"64250551000";"Сахалинская область";"Тымовский";;"Тымовское";"Дальняя";;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2005";"Не указан";"Не указан";"Сделка";6444422697
"49198020";"Земельный участок";"65:02:0000044";2034;"Договор купли-продажи";"07.2009";"07.2009";2450000,00;1204,52;"1/2";"Земли населенных пунктов";;;;"Ипотека";;;"64401802001";"Сахалинская область";;"Южно-Сахалинск";"Дальнее";"Садовая";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2002";"Не указан";"Не указан";"Сделка";6444422773
"4258004";"Земельный участок";"65:04:0000029";600;"Договор купли-продажи";"09.2014";"09.2014";1950000,00;3250,00;;"Земли населенных пунктов";;;;"Ипотека";;;"64415000000";"Сахалинская область";"Корсаковский";"Корсаков";;"Авиационная";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2001";"Не указан";"Не указан";"Сделка";6444422850
"5020751235948";"Земельный участок";"65:06:0000002";2500;"Договор купли-продажи";"04.2000";"04.2000";5000,00;2,00;;"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Без обременения";;;"64228811003";"Сахалинская область";"Невельский";;"Лопатино";"Набережная";;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2000";"Не указан";"Не указан";"Сделка";6444422888
"134758020";"Земельный участок";"65:01:0315003";510;"Договор купли-продажи";"08.2014";"08.2014";1785000,00;3500,00;"1/2";"Земли населенных пунктов";;;;"Ипотека";;;"64401000000";"Сахалинская область";;"Южно-Сахалинск";;"Комсомольская";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2007";"Не указан";"Не указан";"Сделка";6444423080
"21233020";"Земельный участок";"65:01:0102001";870;"Договор купли-продажи";"09.2013";"09.2013";2531000,00;2909,20;;"Земли населенных пунктов";;;;"Ипотека";;;"64401000000";"Сахалинская область";;"Южно-Сахалинск";;;;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2001";"Не указан";"Не указан";"Сделка";6444423096
"1221009";"Земельный участок";"65:08:0000033";691;"Договор купли-продажи";"11.1999";"01.2001";1000,00;1,45;;"Земли населенных пунктов";;;;"Без обременения";;;"64254000011";"Сахалинская область";"Холмский";;"Яблочное";"Комсомольская";;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"1999";"Не указан";"Не указан";"Сделка";6444423142
"38230004";"Земельный участок";"65:03:0000014";1200;"Договор купли-продажи";"10.2010";"10.2010";19752,59;16,46;;"Земли населенных пунктов";"Для индивидуальной жилой застройки";;;"Без обременения";;;"64216822001";"Сахалинская область";"Корсаковский";;"Соловьевка";"Лесная";;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2010";"Не указан";"Не указан";"Сделка";6444423225
"35500009";"Земельный участок";"65:08:0000046";54842;"Договор купли-продажи";"09.2013";"12.2013";23000000,00;419,39;;"Земли населенных пунктов";;;;"Ипотека";;;"64254000006";"Сахалинская область";"Холмский";;"Правда";"Речная";;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2011";"Не указан";"Не указан";"Сделка";6444424450
"47906020";"Земельный участок";"65:01:0901007";1000;"Договор купли-продажи";"05.2007";"06.2007";2000000,00;2000,00;"1/2";"Земли населенных пунктов";;;;"Ипотека";;;"64401000000";"Сахалинская область";;"Южно-Сахалинск";"Ново-Александровск";;;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2004";"Не указан";"Не указан";"Сделка";6444424514
"1475004";"Земельный участок";"65:04:0000018";600;"Договор купли-продажи";"07.2000";"09.2000";30000,00;50,00;;"Земли населенных пунктов";;;;"Без обременения";;;"64415000000";"Сахалинская область";"Корсаковский";"Корсаков";;"А.Матросова";;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2000";"Не указан";"Не указан";"Сделка";6444424615
"161511020";"Земельный участок";"65:01:0205006";804;"Договор купли-продажи";"08.2015";"09.2015";2000000,00;2487,56;;"Земли населенных пунктов";"Для ведения гражданами садоводства и огородничества";;;"Ипотека";;;"64401000000";"Сахалинская область";;"Южно-Сахалинск";;;;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2008";"Не указан";"Не указан";"Сделка";6444424640
"149070020";"Земельный участок";"65:05:0000010";2000;"Договор купли-продажи";"10.2014";"10.2014";3000000,00;1500,00;;"Земли населенных пунктов";"Для объектов жилой застройки";;;"Ипотека";;;"64208860001";"Сахалинская область";"Анивский";;"Троицкое";;;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2008";"Не указан";"Не указан";"Сделка";6444424664
"140257020";"Земельный участок";"65:01:0901008";1853;"Договор купли-продажи";"05.2008";"05.2008";2960000,00;1597,41;;"Земли населенных пунктов";;;;"Ипотека";;;"64401000000";"Сахалинская область";;"Южно-Сахалинск";"Ново-Александровск";;;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2008";"Не указан";"Не указан";"Сделка";6444424665
"29758020";"Земельный участок";"65:01:0204006";633;"Договор купли-продажи";"09.2015";"09.2015";453026,00;715,68;"1/6";"Земли населенных пунктов";;;;"Ипотека";;;"64401000000";"Сахалинская область";;"Южно-Сахалинск";;"Грузинский";;4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2006";"Не указан";"Не указан";"Сделка";6444424667
"9717009";"Земельный участок";"65:08:0000030";1557;"Договор купли-продажи";"11.2007";"12.2007";100000,00;64,23;"1/4";"Земли населенных пунктов";;;;"Ипотека";;;"64254811002";"Сахалинская область";"Холмский";;"Пионеры";"Холмская";;4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"1999";"Не указан";"Не указан";"Сделка";6444424758
"47568020";"Земельный участок";"65:01:0406001";65568;"Договор купли-продажи";"12.2008";"12.2008";329881880,00;5031,14;;"Земли населенных пунктов";;;;"Ипотека";;;"64401000000";"Сахалинская область";;"Южно-Сахалинск";"Хомутово";"2-я Центральная";;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2004";"Не указан";"Не указан";"Сделка";6444424768
"14081020";"Земельный участок";"65:01:0201003";587;"Договор купли-продажи";"10.2015";"11.2015";2900000,00;4940,37;;"Земли населенных пунктов";;;;"Ипотека";;;"64401000000";"Сахалинская область";;"Южно-Сахалинск";;;;3;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2000";"Не указан";"Не указан";"Сделка";6444424774
